Titulo1= População Residente - Estimativas para o TCU - Brasil
Titulo2=População estimada por Ano segundo Município
Rodape=Período:2007-2019
Nomemapa=c:\tabwin\br_municip.map
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"110001 Alta Floresta D'Oeste";23857;24577;24354;24422;24228;24069;25728;25652;25578;25506;25437;23167;22945
"110037 Alto Alegre dos Parecis";11615;11962;11875;12826;12825;12833;13827;13884;13940;13993;14045;13227;13241
"110040 Alto Paraíso";16758;17169;17569;17144;17444;17742;19459;19841;20210;20569;20916;20999;21428
"110034 Alvorada D'Oeste";16485;17009;17127;16864;16625;16404;17399;17228;17063;16902;16747;14722;14411
"110002 Ariquemes";82388;84581;85541;90354;91570;92747;101269;102860;104401;105896;107345;106168;107863
"110045 Buritis";33072;33879;34693;32385;32899;33397;36555;37207;37838;38450;39044;38937;39654
"110003 Cabixi";6575;6777;6695;6309;6221;6132;6495;6424;6355;6289;6224;5438;5312
"110060 Cacaulândia";5553;5707;5736;5727;5764;5791;6268;6318;6367;6414;6460;6190;6230
"110004 Cacoal";76155;78263;78675;78601;78959;79330;85863;86556;87226;87877;88507;84813;85359
"110070 Campo Novo de Rondônia";12455;12790;12915;12669;12758;12847;13939;14081;14220;14354;14484;14009;14139
"110080 Candeias do Jamari";16736;17147;17547;19782;20292;20787;22973;23573;24155;24719;25266;25983;26693
"110090 Castanheiras";3624;3737;3685;3581;3527;3479;3689;3653;3617;3583;3550;3119;3052
"110005 Cerejeiras";16290;16784;16622;17030;16939;16852;18041;18013;17986;17959;17934;16444;16323
"110092 Chupinguaia";7456;7633;7843;8304;8515;8721;9636;9887;10129;10364;10593;10886;11182
"110006 Colorado do Oeste";17644;18216;17822;18602;18338;18093;19190;19001;18817;18639;18467;16227;15882
"110007 Corumbiara";9476;9761;9680;8802;8655;8530;9036;8938;8842;8749;8659;7567;7391
"110008 Costa Marques";13664;13973;14452;13700;14023;14355;15853;16258;16651;17031;17400;17855;18331
"110094 Cujubim";13857;14122;14889;15873;16570;17262;19410;20204;20974;21720;22443;24226;25215
"110009 Espigão D'Oeste";27867;28617;28892;28741;28963;29189;31699;32047;32385;32712;33030;32047;32374
"110100 Governador Jorge Teixeira";11432;11793;11593;10513;10272;10040;10534;10327;10127;9933;9745;8095;7767
"110010 Guajará-Mirim";39451;40541;40762;41646;41934;42202;45761;46203;46632;47048;47451;45783;46174
"110110 Itapuã do Oeste";7905;8110;8235;8561;8700;8830;9661;9831;9995;10155;10310;10272;10458
"110011 Jaru";52453;53955;53943;52043;51883;51765;55597;55669;55738;55806;55871;51933;51775
"110012 Ji-Paraná";107679;110707;111010;116587;117363;118092;128026;129242;130419;131560;132667;127907;128969
"110013 Machadinho D'Oeste";31475;32214;33159;31107;31780;32403;35633;36412;37167;37899;38609;39097;39991
"110120 Ministro Andreazza";10343;10653;10572;10354;10277;10203;10899;10860;10823;10786;10751;9762;9660
"110130 Mirante da Serra";12086;12446;12363;11869;11781;11686;12469;12414;12360;12308;12258;11080;10947
