Titulo1= População Residente - Estimativas para o TCU - Pará
Titulo2=População estimada por Ano segundo Município
Rodape=Período:2007-2019
Nomemapa=c:\tabwin\pa_municip.map
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"150010 Abaetetuba";132222;138005;139819;141054;142785;144415;147267;148873;150431;151934;153380;156292;157698
"150013 Abel Figueiredo";6592;6879;6967;6792;6844;6905;7013;7070;7126;7179;7231;7382;7434
"150020 Acará";47923;48878;48501;53605;53680;53787;54030;54047;54064;54080;54096;55513;55591
"150030 Afuá";31183;32368;32633;35017;35467;35879;36598;37004;37398;37778;38144;38863;39218
"150034 Água Azul do Norte";28658;30389;31216;25061;25286;25506;25899;26105;26305;26497;26682;27241;27430
"150040 Alenquer";52661;55688;57067;52714;53004;53369;54035;54353;54662;54960;55246;56480;56789
"150050 Almeirim";30903;31475;31192;33665;33588;33563;33562;33466;33372;33282;33195;34142;34109
"150060 Altamira";92105;96842;98750;105030;100736;102343;105106;106768;108382;109938;111435;113195;114594
"150070 Anajás";24942;26563;27386;24771;25254;25731;26547;27051;27540;28012;28466;28859;29277
"150080 Ananindeua";484278;495480;505512;471744;477999;483821;493976;499776;505404;510834;516057;525566;530598
"150085 Anapu";17787;19410;20421;20493;21398;22225;23609;24525;25414;26271;27096;27161;27890
"150090 Augusto Corrêa";37086;38760;39317;40499;41072;41628;42591;43154;43700;44227;44734;45516;45998
"150095 Aurora do Pará";21239;22092;22315;26579;27070;27576;28441;28974;29492;29991;30471;30896;31338
"150100 Aveiro";18830;19839;20266;15767;15875;15899;15959;15956;15953;15950;15947;16371;16388
"150110 Bagre";18580;19780;20386;23855;24644;25398;26666;27491;28292;29065;29808;30009;30673
"150120 Baião";26190;27652;28299;36907;38092;39263;41232;42513;43757;44956;46110;46416;47446
"150125 Bannach";3812;3935;3947;3434;3405;3379;3340;3303;3267;3233;3200;3310;3286
"150130 Barcarena";84560;89909;92567;99800;102668;105385;109975;112921;115779;118537;121190;122294;124680
"150140 Belém";1408847;1424124;1437600;1392031;1402056;1410430;1425922;1432844;1439561;1446042;1452275;1485732;1492745
"150145 Belterra";12707;12861;12671;16324;16451;16579;16808;16924;17036;17145;17249;17624;17732
"150150 Benevides";43282;45616;46611;51663;52888;54083;56112;57393;58637;59836;60990;61689;62737
"150157 Bom Jesus do Tocantins";13145;13559;13593;15246;15467;15629;15916;16074;16227;16375;16517;16841;16981
"150160 Bonito";11279;11817;12013;13630;13923;14207;14689;14990;15282;15563;15834;16038;16286
"150170 Bragança";101728;105908;107060;113165;114720;116164;118678;120124;121528;122881;124184;126436;127686
"150172 Brasil Novo";18749;19531;19754;17960;15575;17960;15300;15139;14984;14834;14689;15190;15086
"150175 Brejo Grande do Araguaia";7444;7673;7688;7324;7306;7295;7285;7258;7232;7206;7182;7392;7380
"150178 Breu Branco";47069;50400;52200;52497;54032;55521;58033;59651;61222;62737;64194;64738;66046
"150180 Breves";94458;99223;101094;92865;93835;94779;96444;97351;98231;99080;99896;101891;102701
"150190 Bujaru";22535;23429;23654;25700;26053;26400;27000;27349;27689;28016;28331;28832;29132
"150200 Cachoeira do Arari";18995;19996;20411;20460;20801;21147;21740;22100;22449;22786;23110;23466;23767
"150195 Cachoeira do Piriá";17649;18481;18777;26476;27332;28153;29533;30430;31300;32139;32947;33178;33900
"150210 Cametá";110323;115377;117099;120904;122683;124411;127401;129161;130868;132515;134100;136390;137890
"150215 Canaã dos Carajás";23757;26135;27675;26727;27929;29101;31062;32366;33632;34853;36027;36050;37085
"150220 Capanema";61350;63799;64429;63628;64140;64624;65498;65932;66353;66759;67150;68616;69027
"150230 Capitão Poço";50839;52557;52797;51899;52057;52214;52537;52616;52693;52768;52839;54179;54303
"150240 Castanhal";152126;159110;161497;173096;176116;178986;183917;186895;189784;192571;195253;198294;200793
"150250 Chaves";19368;20228;20506;21138;21286;21557;22029;22302;22566;22821;23066;23482;23717
"150260 Colares";10981;11367;11433;11382;11439;11495;11600;11641;11682;11721;11759;12040;12085
"150270 Conceição do Araguaia";45267;46916;47237;45530;45724;45885;46206;46302;46395;46485;46571;47734;47864
"150275 Concórdia do Pará";21422;22148;22251;28221;28774;29313;30233;30801;31352;31884;32395;32847;33318
"150276 Cumaru do Norte";10452;11348;11890;10478;10811;11144;11704;12069;12423;12765;13093;13179;13473
"150277 Curionópolis";17769;18102;17944;18295;18197;18108;17983;17844;17709;17578;17453;18014;17929
"150280 Curralinho";25388;26864;27543;28582;29204;29838;30915;31591;32248;32881;33490;33893;34448
"150285 Curuá";11928;12644;12984;12262;12487;12712;13097;13333;13562;13783;13996;14197;14393
"150290 Curuçá";33768;35790;36748;34490;34919;35523;36557;37188;37800;38391;38959;39540;40066
"150293 Dom Eliseu";38150;39161;39088;51318;52224;53100;54602;55513;56398;57251;58071;58956;59719
"150295 Eldorado do Carajás";28554;29308;29251;31745;31954;32115;32420;32544;32664;32780;32892;33674;33808
"150300 Faro";17253;18710;19585;8181;8035;7897;7680;7504;7333;7168;7009;7319;7194
"150304 Floresta do Araguaia";14964;15516;15629;17825;18036;18295;18741;19005;19261;19508;19746;20080;20304
"150307 Garrafão do Norte";24619;25436;25538;25051;25097;25157;25287;25307;25326;25345;25363;26020;26066
"150309 Goianésia do Pará";27166;28583;29164;30437;31031;35299;36500;37249;37975;38677;39352;39857;40475
"150310 Gurupá";24384;25306;25511;29060;29520;29963;30727;31182;31623;32049;32458;32991;33376
"150320 Igarapé-Açu";33778;35005;35241;35843;36155;36414;36883;37112;37333;37547;37753;38588;38807
"150330 Igarapé-Miri";54673;56639;57003;58023;58498;58904;59644;59998;60343;60675;60994;62355;62698
"150340 Inhangapi";9592;10134;10377;10064;10218;10393;10693;10876;11053;11224;11388;11559;11711
"150345 Ipixuna do Pará";39563;42636;44396;51383;53318;51569;54609;56613;58558;60433;62237;62455;64053
"150350 Irituia";29746;30573;30552;31382;31429;31492;31634;31644;31654;31664;31673;32504;32550
"150360 Itaituba";118194;124865;127848;97343;97704;97908;98363;98405;98446;98485;98523;101097;101247
"150370 Itupiranga";42002;42332;41541;51258;51341;51457;51711;51743;51775;51806;51835;53182;53269
"150375 Jacareacanga";37073;39892;41487;14040;14223;41487;41487;41487;41487;41487;8059;8899;8239
"150380 Jacundá";51511;54513;55900;51375;52191;52993;54376;55204;56006;56781;57526;58457;59155
"150390 Juruti";33775;35155;35530;47123;48306;49486;51483;52755;53989;55179;56325;56908;57943
"150400 Limoeiro do Ajuru";23284;24483;24967;25028;25440;25846;26542;26961;27368;27760;28138;28583;28935
"150405 Mãe do Rio";27614;28762;29087;27892;28100;28290;28636;28800;28959;29112;29260;29917;30077
"150410 Magalhães Barata";7650;7883;7895;8115;8148;8179;8240;8260;8279;8298;8316;8523;8548
"150420 Marabá";196468;199946;203049;233462;238708;243583;251885;257062;262085;266932;271594;275086;279349
"150430 Maracanã";28296;29269;29417;28376;28438;28498;28631;28643;28656;28668;28679;29429;29473
"150440 Marapanim";26651;27727;28011;26605;26750;26890;27153;27262;27368;27471;27569;28220;28336
"150442 Marituba";93416;98746;101158;108251;110842;113353;117614;120305;122916;125435;127858;129321;131521
"150445 Medicilândia";22624;23487;23682;27442;27785;28227;28987;29444;29887;30315;30726;31213;31597
"150450 Melgaço";17845;17989;17657;24789;25096;25374;25860;26133;26397;26652;26897;27415;27654
"150460 Mocajuba";23258;24328;24695;26745;27207;27666;28454;28933;29398;29846;30277;30736;31136
"150470 Moju";63821;67195;68600;69921;71329;72597;74768;76096;77385;78629;79825;80988;82094
"150475 Mojuí dos Campos";0;0;0;0;0;15018;15232;15341;15446;15548;15646;15982;16084
"150480 Monte Alegre";61350;63543;63941;55459;55636;55804;56147;56231;56312;56391;56466;57900;58032
"150490 Muaná";28796;30117;30568;34237;34875;35524;36632;37314;37977;38616;39231;39783;40349
"150495 Nova Esperança do Piriá";22447;23599;24062;20159;20256;20350;20528;20596;20663;20727;20789;21291;21368
"150497 Nova Ipixuna";14086;14808;15097;14645;14859;15065;15422;15632;15836;16032;16221;16499;16678
"150500 Nova Timboteua";12103;12568;12677;13660;13844;14012;14305;14472;14635;14791;14942;15218;15363
"150503 Novo Progresso";21598;21843;21504;25106;25138;25151;25203;25169;25135;25102;25071;25758;25762
"150506 Novo Repartimento";51645;54506;55762;62124;63604;65106;67652;69267;70835;72347;73802;74602;75919
"150510 Óbidos";46793;48287;48429;49254;49552;49763;50171;50317;50459;50596;50727;51964;52137
"150520 Oeiras do Pará";25420;26487;26796;28595;29005;29402;30088;30490;30880;31257;31619;32168;32512
"150530 Oriximiná";55175;57765;58683;62963;63905;64978;66821;67939;69024;70071;71078;72160;73096
"150540 Ourém";15152;15719;15841;16296;16458;16601;16854;16986;17114;17237;17356;17721;17842
"150543 Ourilândia do Norte";20415;21171;21327;27564;27965;28551;29547;30171;30776;31359;31921;32319;32832
"150548 Pacajá";38365;40768;41953;40052;40831;41654;43057;43930;44778;45596;46383;46986;47706
"150549 Palestina do Pará";7156;7329;7301;7487;7470;7465;7465;7444;7424;7404;7386;7596;7589
"150550 Paragominas";90819;95479;97350;97788;99460;101046;103775;105417;107010;108547;110026;111764;113145
"150553 Parauapebas";133298;145326;152777;153942;160229;166342;176582;183352;189921;196259;202356;202882;208273
"150555 Pau D'Arco";6466;6583;6522;6029;5950;5869;5743;5637;5535;5436;5341;5557;5483
"150560 Peixe-Boi";7679;7908;7916;7868;7862;7869;7889;7881;7874;7867;7860;8073;8077
"150563 Piçarra";12707;13106;13140;12703;12699;12701;12720;12697;12675;12653;12632;12983;12981
"150565 Placas";17898;19030;19592;23930;24744;25526;26842;27700;28533;29336;30109;30293;30982
"150570 Ponta de Pedras";24276;25743;26445;25989;26560;27103;28025;28601;29160;29700;30219;30608;31082
"150580 Portel";45586;47967;48945;52166;53257;54306;56094;57205;58282;59322;60322;61126;62043
"150590 Porto de Moz";26489;27689;28091;33951;34756;35529;36841;37669;38471;39246;39991;40458;41135
"150600 Prainha";26436;26866;26570;29265;29337;29325;29342;29270;29200;29132;29067;29886;29866
"150610 Primavera";10463;10883;10993;10268;10311;10352;10432;10458;10485;10510;10534;10792;10825
"150611 Quatipuru";12620;13232;13459;12411;12527;12639;12838;12943;13044;13142;13237;13512;13608
"150613 Redenção";64583;66762;67064;75505;76501;77415;79010;79917;80797;81647;82464;83997;84787
"150616 Rio Maria";16993;17457;17437;17722;17713;17728;17774;17755;17738;17721;17705;18186;18193
