municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,75,100,0,"66,67",75,100,100,"87,5",50,75,100,40
Abel Figueiredo,100,100,100,100,"88,89","92,31","81,25","79,31","91,67",100,100,100
Acará,"38,1",50,"52,17",50,60,"59,09",50,100,100,100,100,80
Afuá,50,100,75,0,100,75,100,100,75,100,100,100
Água Azul do Norte,"95,45",90,"90,91","78,57","90,91",100,"92,31","33,33","90,91","87,5",20,0
Alenquer,"98,48",100,100,100,100,"98,78",100,100,100,"96,77",100,100
Almeirim,"90,29","98,85","97,4","98,55","98,33","95,71","98,04","94,79",100,"96,55","90,24",100
Altamira,"95,58","94,57","98,86",100,99,100,"94,62","96,77",97,"96,83","96,26","87,01"
Anajás,100,"66,67","87,5",100,100,100,100,100,0,100,100,100
Ananindeua,100,100,100,50,100,0,100,100,100,100,100,100
Anapu,"84,29","89,8","96,26","94,44","92,73","85,45",75,"81,25","91,11","82,14","90,91",90
Augusto Corrêa,100,100,100,100,100,100,"92,31","83,33","87,5",100,"88,89","92,86"
Aurora do Pará,"92,31",75,100,"66,67",90,"72,22",80,100,100,50,100,80
Aveiro,"77,27",45,"66,67",60,75,50,100,100,100,100,100,100
Bagre,"78,26","86,96","93,33",100,100,"92,59",100,100,"96,15","94,74",100,"95,65"
Baião,100,100,100,"87,5",100,100,100,95,100,100,100,100
Bannach,100,50,100,0,100,0,100,0,100,100,80,100
Barcarena,100,50,100,100,100,100,80,100,0,100,100,90
Belém,100,100,100,100,75,100,100,100,100,100,"87,5",100
Belterra,100,100,100,"85,19",100,100,100,"96,43",100,100,"90,91","95,24"
Benevides,100,100,100,0,100,"66,67",100,100,100,100,100,"66,67"
Bom Jesus do Tocantins,100,100,100,100,100,100,100,100,100,"87,5","87,5",100
Bonito,0,100,100,100,100,100,100,0,100,"66,67",100,75
Bragança,100,100,100,100,"97,14",100,"98,28","93,55","95,24",100,100,100
Brasil Novo,100,"96,55","93,02",100,"95,12","94,12",100,"93,48","96,1",100,"95,38","84,85"
Brejo Grande do Araguaia,0,0,100,"83,33",100,100,100,100,100,0,100,100
Breu Branco,"98,36","96,49","95,74","93,33",100,"98,31",100,"94,44","94,12",100,"95,65","94,74"
Breves,"87,5",100,"94,12",75,"76,92","57,14",100,"83,33",100,100,100,100
