municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,50,"33,33",0,"66,67",75,0,100,"62,5",50,100,80,100
Abel Figueiredo,"83,33","71,43","88,89",100,"88,89",100,100,100,100,100,"92,31","87,5"
Acará,"76,19",50,"26,09",0,70,"40,91",50,"47,83",0,0,"33,33",40
Afuá,100,100,25,0,50,50,40,"33,33",0,0,"16,67","37,5"
Água Azul do Norte,"95,45",0,"18,18","42,86",0,25,0,0,"54,55","62,5",0,0
Alenquer,"84,85","87,95","86,15","92,86","83,33","93,9","91,07","76,81","86,96","77,42","89,23","70,77"
Almeirim,"96,12","78,16","16,88","55,07","73,33","61,43","64,71","43,75",50,"89,66","36,59","71,43"
Altamira,"91,15","92,39","96,59","93,65",98,"99,06","95,7","97,85",98,"96,83","93,46","94,81"
Anajás,100,"77,78","87,5",40,50,"33,33",75,0,0,0,50,25
Ananindeua,0,0,20,100,0,0,"16,67",0,20,0,"33,33",0
Anapu,100,"55,1","14,02","97,22",100,"81,82","8,33","59,38","76,67","96,43","98,7",100
Augusto Corrêa,"92,31","23,08",0,50,100,"62,5","46,15","77,78","87,5",100,100,100
Aurora do Pará,"76,92",75,"42,86","66,67",90,"72,22",100,100,90,0,100,60
Aveiro,100,75,100,60,100,0,"71,43",80,90,0,0,100
Bagre,"56,52","47,83","33,33","57,14",0,"37,04","71,43","78,57","11,54","94,74","46,15","43,48"
Baião,"64,71","86,67",100,"87,5","87,5","94,44","91,67",65,"76,92","83,33","51,72","76,92"
Bannach,50,0,"66,67",0,0,0,50,0,"33,33","66,67",100,100
Barcarena,100,50,100,100,"85,71",0,80,100,0,"66,67",100,60
Belém,"28,57",50,"72,73",100,50,50,"18,18","45,45",50,0,0,"28,57"
Belterra,"47,37","32,26","65,22","81,48","27,27","59,26",100,"82,14","59,26",0,"22,73","23,81"
Benevides,20,0,0,0,100,"33,33",0,100,100,0,0,0
Bom Jesus do Tocantins,"16,67",0,100,"87,5",100,"88,89",100,40,100,"87,5",50,60
Bonito,0,0,0,0,0,0,100,0,100,100,100,100
Bragança,"80,95","96,43",92,"53,85","82,86","96,3","93,1","83,87","95,24","94,12","92,59","94,23"
Brasil Novo,100,"82,76","97,67",80,"95,12","91,18","95,83",100,"75,32",100,100,"93,94"
Brejo Grande do Araguaia,0,0,20,"66,67",100,"83,33","66,67",50,0,0,100,60
Breu Branco,"68,85","28,07","17,02","23,33",40,"96,61","88,33",100,"88,24","52,38","52,17","65,79"
Breves,100,100,"88,24",25,"23,08","42,86",50,0,25,50,0,0
Bujaru,0,0,50,0,0,100,0,0,0,0,0,100
Cachoeira do Arari,100,75,0,100,0,0,0,50,0,0,100,100
Cachoeira do Piriá,"85,37","85,71","28,95","11,11","57,14","82,5","87,93","18,6","26,92",10,"76,47","84,95"
Cametá,"56,25","40,91","31,25",100,75,100,"37,5","45,45","46,15",40,40,"66,67"
Canaã dos Carajás,50,0,30,75,25,"88,89","16,67",20,"46,15",100,"66,67","54,55"
Capanema,"93,75",0,25,20,0,100,"83,33",25,"33,33",0,60,"57,14"
Capitão Poço,"41,67","11,11",100,"44,44","85,71","88,89",100,"77,27","88,89",75,"66,67","77,78"
Castanhal,100,"91,3","66,67",100,"77,78",100,"66,67","53,85","33,33",100,100,"92,86"
Chaves,0,0,0,0,0,0,0,0,0,0,0,0
Colares,100,"66,67",0,0,100,"66,67",80,"22,22","33,33",100,0,0
Conceição do Araguaia,100,75,20,"81,25","87,5","86,67","18,18",0,0,"57,14",50,"66,67"
Concórdia do Pará,100,0,90,0,100,100,0,100,0,50,0,75
Cumaru do Norte,"7,69","14,29","9,09","54,55","28,57","23,08",0,75,"28,57",0,"83,33","44,44"
Curionópolis,70,"93,33","92,31","92,86",100,"72,73","96,43","90,91","85,19",60,"83,33","93,75"
Curralinho,50,40,50,0,0,"6,67",0,"14,29",60,0,"83,33","70,59"
Curuá,"66,67","66,67","66,67",100,100,0,100,100,100,0,75,100
Curuçá,0,50,0,100,"66,67",0,100,50,0,0,50,100
Dom Eliseu,"99,18","16,67",94,100,"98,18",100,"1,92","1,06",100,100,"21,05",100
Eldorado dos Carajás,"47,22",0,"55,56","68,75",50,0,0,50,0,"77,78","16,67","66,67"
Faro,"83,33",20,50,0,"33,33",0,0,"66,67",100,50,0,50
Floresta do Araguaia,"55,56",50,"53,85","62,5","66,67","66,67",0,0,0,0,0,100
Garrafão do Norte,100,25,"76,19",100,"69,23",10,"92,59","66,67",100,70,100,"89,29"
Goianésia do Pará,"62,5",74,"44,64","71,43","90,41","87,01","43,48","77,24","5,13","95,45","72,58","98,25"
Gurupá,"33,33",0,0,0,25,0,50,40,100,0,"66,67",0
Igarapé-Açu,"33,33",25,100,50,"88,89",100,100,100,100,80,100,90
Igarapé-Miri,0,"73,68","88,89",100,"16,67","65,85","73,53","69,81","58,82","83,33",45,"96,67"
Inhangapi,0,0,"57,14",100,0,100,50,50,100,0,"85,71",100
Ipixuna do Pará,"96,55","94,44","93,33",100,"74,42","66,67","90,7","82,09",100,"71,43","46,15","77,27"
Irituia,0,"85,71",50,"70,59","57,14","83,33","63,64",50,"81,82",100,100,"88,89"
Itaituba,"87,5","31,91","92,42","79,71","57,47","45,1","65,45","81,52","87,61","74,51","79,56","88,99"
Itupiranga,10,"86,67",45,"70,59","55,26","91,3","90,48","79,49",80,"78,57","95,65","93,33"
Jacareacanga,"37,5","37,5",60,10,"56,25","33,33","72,73",70,0,0,"15,15","48,39"
Jacundá,"68,75","79,17","90,91","69,23","82,61","64,71","28,26","2,13","83,33",80,"62,5","54,17"
Juruti,"28,13","52,94","22,22",40,100,100,100,"65,22","83,33",75,85,86
Limoeiro do Ajuru,100,100,100,100,0,100,0,75,100,0,0,0
Mãe do Rio,100,"33,33",100,100,100,100,"33,33",20,0,0,100,"66,67"
Magalhães Barata,100,"33,33","11,11",0,0,0,0,100,0,100,100,100
Marabá,"59,72","35,21","80,43","90,91","84,38","68,75","89,16","95,54","97,47",98,"94,29","94,59"
Maracanã,0,0,"33,33",0,0,0,0,0,0,0,0,0
Marapanim,0,0,100,100,100,0,"83,33",100,0,0,0,0
Marituba,50,0,"66,67",0,100,0,0,0,"66,67",0,0,0
Medicilândia,100,"98,98",100,"98,89","99,21",100,"69,77","90,7","98,03","76,19","68,75","98,72"
Melgaço,"33,33",20,"33,33",0,100,0,100,100,100,0,100,0
Mocajuba,100,"47,37",50,"66,67","76,92",100,50,80,"66,67",100,"87,5",0
Moju,"76,47","52,78","79,55","47,62","63,83","71,79","70,83","42,7","86,11",40,"64,71",80
Mojuí dos Campos,0,0,0,0,0,0,"42,86","89,29","12,2",0,"3,23","54,17"
Monte Alegre,"70,21","82,35","84,38","92,86","94,05","87,65","97,75","97,24","90,67","89,74","98,08","71,11"
Muaná,75,"66,67",100,100,50,75,0,75,100,100,100,0
Nova Esperança do Piriá,"91,67","87,1","89,47","45,45","56,67",95,50,"27,27","41,67","33,33",100,100
Nova Ipixuna,"71,43","85,71",80,100,100,50,0,0,100,0,100,0
Nova Timboteua,0,0,20,0,0,0,0,25,"83,33",0,0,0
Novo Progresso,"85,71","40,98","93,75","84,31","85,96","71,67","76,19","48,28","46,3","72,41","73,68","91,67"
Novo Repartimento,"42,86","3,28",91,"32,76","83,15","39,38","72,58",60,"65,76",0,"13,33","75,38"
