municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,0,0,0,0,0,0,0,"12,5",0,0,0,0
Abel Figueiredo,"5,56",0,"11,11",0,0,0,0,0,0,0,0,0
Acará,"14,29",25,0,0,0,0,0,"4,35",0,0,0,0
Afuá,0,0,25,0,0,25,0,0,75,100,"66,67","62,5"
Água Azul do Norte,"4,55",0,0,0,0,0,0,0,"9,09",0,0,0
Alenquer,"3,03","6,02","6,15","7,14",0,0,"1,79","2,9",0,"6,45","1,54","6,15"
Almeirim,"0,97",0,0,"1,45","2,5","1,43","1,96","1,04","8,82","6,9","7,32","9,52"
Altamira,"0,88","1,09","1,14",0,0,0,0,0,0,"1,59","0,93","2,6"
Anajás,0,0,"12,5",0,0,"33,33",0,0,0,0,50,0
Ananindeua,0,0,0,0,0,0,0,0,0,0,0,0
Anapu,0,0,0,0,0,0,0,0,0,0,0,0
Augusto Corrêa,0,0,0,0,0,0,0,0,0,0,0,0
Aurora do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Aveiro,0,0,0,0,0,0,"28,57",0,0,0,0,0
Bagre,"8,7","4,35","6,67",0,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0,0,0,0
Bannach,0,0,0,0,0,0,0,0,0,0,0,0
Barcarena,0,0,0,0,0,0,0,0,0,0,0,0
Belém,0,0,0,0,0,0,0,0,0,0,0,0
Belterra,"26,32",0,0,0,0,0,0,0,0,0,0,0
Benevides,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,0,0,0,"12,5",0,0,0,0,0,0,0,0
Bonito,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,0,0,0,0,0,0,"1,72",0,0,0,"3,7","3,85"
Brasil Novo,0,0,0,4,0,0,"4,17",0,0,0,0,0
Brejo Grande do Araguaia,0,0,0,"16,67",0,0,0,50,0,0,0,0
Breu Branco,0,0,0,0,0,"1,69",0,0,0,0,0,0
Breves,0,0,0,0,0,"28,57",0,0,25,0,0,20
Bujaru,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Arari,0,25,50,0,0,0,0,0,0,0,0,0
Cachoeira do Piriá,"9,76",0,0,0,"4,76",0,0,0,0,0,0,0
Cametá,0,"4,55","6,25",0,0,0,0,0,"7,69",0,0,0
Canaã dos Carajás,0,0,0,0,0,0,0,0,0,0,0,0
Capanema,0,0,0,0,0,0,0,0,0,0,0,0
Capitão Poço,0,0,0,0,0,0,0,0,0,0,0,0
Castanhal,0,0,0,0,0,0,"16,67",0,0,0,0,0
Chaves,0,0,100,0,0,100,0,0,100,0,0,0
Colares,0,0,0,0,0,0,0,0,0,0,0,0
Conceição do Araguaia,0,0,0,0,0,"6,67",0,0,0,0,0,0
Concórdia do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Cumaru do Norte,"7,69",0,0,0,0,0,0,25,0,0,"16,67","33,33"
Curionópolis,0,0,0,0,0,0,0,"2,27",0,0,0,0
Curralinho,0,20,25,0,0,0,0,0,0,0,0,0
Curuá,"16,67",0,0,0,0,0,0,0,0,0,0,0
Curuçá,0,0,0,0,0,0,0,0,0,0,0,0
Dom Eliseu,0,0,0,0,"1,82",0,0,0,0,0,0,0
Eldorado dos Carajás,0,0,"5,56",0,0,0,0,"7,69",0,0,0,0
Faro,0,0,0,0,0,0,0,0,0,0,0,0
Floresta do Araguaia,"11,11",0,0,0,0,0,0,0,0,0,0,0
Garrafão do Norte,0,0,"9,52",0,0,0,0,0,0,0,0,0
Goianésia do Pará,"3,13",4,0,"2,86","4,11","5,08","0,72","3,45",0,0,0,0
Gurupá,"33,33",0,0,0,25,"33,33",0,0,0,50,0,0
Igarapé-Açu,0,0,0,0,0,0,0,0,0,0,0,0
Igarapé-Miri,0,"5,26","11,11",0,0,"17,07","20,59","18,87","17,65","16,67",0,0
Inhangapi,0,0,0,0,"33,33",0,0,0,0,0,0,0
Ipixuna do Pará,0,0,0,0,0,"3,33","2,33","1,49",0,0,0,"4,55"
Irituia,0,0,0,0,0,0,0,0,0,0,0,0
Itaituba,"5,77","3,19","4,55","5,8","1,15","6,86","7,27","4,35","6,19","7,84","2,19","4,59"
Itupiranga,20,0,0,"5,88",0,0,"4,76","5,13",0,0,0,0
Jacareacanga,0,0,0,0,0,0,0,0,0,"9,09",0,0
Jacundá,"3,13","4,17","9,09","23,08",0,0,0,0,0,0,0,"4,17"
Juruti,0,0,0,10,0,0,0,0,"4,17",25,0,2
Limoeiro do Ajuru,0,0,0,0,0,0,100,0,0,0,0,0
Mãe do Rio,0,"33,33",0,0,0,0,0,0,0,0,0,0
Magalhães Barata,0,0,0,0,0,0,0,0,0,0,0,0
Marabá,"29,17","52,11",0,"4,55","2,08",0,0,"0,89",0,2,0,"2,7"
Maracanã,0,0,0,0,0,0,0,0,0,0,0,0
Marapanim,0,0,0,0,0,0,0,0,0,0,0,0
Marituba,0,0,0,0,0,0,0,0,0,0,0,0
Medicilândia,0,0,0,0,0,0,0,0,0,0,0,0
Melgaço,0,0,0,0,0,0,0,0,0,0,0,0
Mocajuba,0,"10,53",0,0,0,0,0,0,0,0,0,0
Moju,0,0,0,"2,38",0,0,"4,17",0,0,0,0,0
Mojuí dos Campos,0,0,0,0,0,0,0,0,0,0,0,0
Monte Alegre,"4,26","6,86","6,25","2,38",0,0,0,0,0,0,0,"1,11"
Muaná,25,0,0,0,0,0,"33,33",0,0,0,0,0
Nova Esperança do Piriá,0,0,0,0,0,0,0,0,0,0,0,0
Nova Ipixuna,"28,57",0,20,0,0,0,0,0,0,0,0,0
Nova Timboteua,0,0,0,0,0,0,0,0,"16,67",0,0,0
Novo Progresso,0,"1,64","6,25","9,8","10,53","11,67","11,9","3,45","12,96","13,79","15,79","4,17"
Novo Repartimento,0,"1,64",0,"1,72",0,"0,63",0,2,"1,63",0,0,0
Óbidos,"1,47","3,19",0,0,0,"1,85","2,17",0,"9,38","4,17",0,"2,33"
Oeiras do Pará,0,0,5,0,0,0,0,0,"5,56",0,0,0
Oriximiná,"2,01","1,03","12,12","7,14","6,49","4,38","10,84","17,02","9,21","2,08","5,88","2,63"
Ourém,0,0,0,0,0,0,0,0,0,0,0,0
Ourilândia do Norte,0,0,0,0,0,0,0,0,0,0,0,0
Pacajá,0,0,0,0,0,0,0,0,0,0,0,0
Palestina do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Paragominas,"5,64","4,55","2,2","14,41","3,51","1,87","5,22","2,7","1,3","3,45","1,59",0
Parauapebas,"18,67","1,69",0,"10,53","7,2",10,"3,06","3,7","3,11",0,"5,41","0,95"
Pau d'Arco,0,0,50,0,0,0,0,0,0,0,0,0
Peixe-Boi,0,0,0,0,0,0,0,0,0,0,0,0
Piçarra,0,0,0,0,0,0,0,0,0,0,0,0
Placas,0,0,0,"9,68",0,0,0,0,0,0,0,0
Ponta de Pedras,0,0,0,0,0,0,0,0,0,0,0,0
Portel,"1,45","1,11","0,98",0,"0,56","0,81",0,0,"0,85","3,51","1,03","0,99"
Porto de Moz,0,4,"15,38",0,0,0,"8,33","16,67",20,"53,85","8,33",10
Prainha,"5,26","12,2",0,0,0,0,0,0,0,"3,13",0,0
Primavera,0,0,0,0,0,0,0,0,0,0,0,0
Quatipuru,0,0,0,0,0,0,0,0,0,0,0,0
Redenção,0,0,0,0,0,0,0,0,0,0,"2,63",0
Rio Maria,0,0,0,0,20,0,0,0,25,0,0,0
Rondon do Pará,"0,88",0,"3,23",0,"3,51","4,3","9,09","1,3","2,22",0,"2,22",0
Rurópolis,0,0,"3,13",0,0,0,"2,7",0,0,0,0,0
Salinópolis,0,0,0,0,0,0,0,0,0,25,0,0
Salvaterra,0,0,0,0,0,0,0,0,0,0,0,"33,33"
Santa Bárbara do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Luzia do Pará,0,0,0,0,0,"15,38","9,09",0,0,0,0,0
Santa Maria das Barreiras,15,0,0,0,0,0,0,0,0,0,0,0
Santa Maria do Pará,0,0,0,0,0,0,0,0,0,0,"33,33",0
Santana do Araguaia,"3,7","21,88",0,0,0,0,0,0,0,0,0,0
Santarém,0,"5,11","0,67",0,0,0,0,0,0,0,0,0
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,0,0,0,0,0,0,0,0,0,0,0
São Caetano de Odivelas,0,0,0,0,0,0,0,0,25,0,0,0
São Domingos do Araguaia,50,"34,62","12,5",0,"3,45",0,0,0,0,0,0,0
São Domingos do Capim,0,0,0,0,0,0,0,0,0,0,0,0
São Félix do Xingu,0,0,"2,7",0,0,"2,86",0,0,0,0,0,0
São Francisco do Pará,0,0,0,0,0,0,0,0,0,0,0,0
São Geraldo do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0
São João da Ponta,0,0,0,0,0,0,0,0,0,0,0,0
São João de Pirabas,0,0,0,0,100,0,0,0,0,0,0,0
São João do Araguaia,"42,86",0,0,0,0,0,0,0,0,0,0,0
São Miguel do Guamá,0,0,0,0,0,0,0,0,0,0,0,0
São Sebastião da Boa Vista,0,0,0,50,0,0,0,0,0,0,0,0
Sapucaia,0,0,0,0,0,0,0,50,0,0,0,50
Senador José Porfírio,"5,88",0,0,0,0,0,0,0,0,0,0,"3,85"
Soure,0,0,0,0,0,0,0,0,0,0,0,0
Tailândia,0,0,0,0,0,0,"4,17",0,0,0,0,0
Terra Alta,0,0,25,0,0,0,0,0,0,"14,29",0,0
Terra Santa,0,0,0,0,0,0,0,"26,92",0,0,"33,33",0
Tomé-Açu,0,"2,4",0,4,"1,3",0,0,0,0,0,0,0
Tracuateua,0,0,0,0,0,0,0,0,0,0,0,0
Trairão,"1,96",0,0,"3,23",0,4,"8,33","3,57",8,0,"6,25",0
Tucumã,0,0,0,0,0,0,0,0,0,"3,23","3,57",8
Tucuruí,0,0,0,0,0,0,0,"1,32",0,"3,13","4,35",0
Ulianópolis,6,"11,67","15,49","9,52","13,04","13,43","7,81","4,46","13,16",0,"9,68","1,15"
Uruará,0,0,0,"0,71","0,61","0,67",0,0,0,0,0,0
Vigia,100,0,0,0,0,0,0,0,0,0,0,0
Viseu,0,0,0,0,0,0,0,0,0,0,"4,17",0
Vitória do Xingu,0,0,0,0,0,5,0,0,0,"9,09","5,26","10,53"
Xinguara,"11,76",0,0,0,0,0,10,0,0,0,0,0
