municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,0,0,0,0,0,0,0,0,0,0,0,0
Abel Figueiredo,0,0,0,0,0,0,0,0,0,0,0,0
Acará,0,0,0,0,0,0,0,0,0,0,0,0
Afuá,0,0,0,0,0,0,0,0,0,0,0,0
Água Azul do Norte,0,0,0,0,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,0,0,0,0,0
Almeirim,0,0,0,0,0,0,0,0,0,0,0,0
Altamira,0,0,0,0,0,0,0,0,0,0,0,0
Anajás,0,0,0,0,0,0,0,0,0,0,0,0
Ananindeua,0,0,0,0,0,0,0,0,0,0,0,0
Anapu,0,0,0,0,0,0,0,0,0,0,0,0
Augusto Corrêa,0,0,0,0,0,0,0,0,0,0,0,0
Aurora do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Aveiro,0,0,0,0,0,0,0,0,0,0,0,0
Bagre,0,0,0,0,0,0,0,0,0,0,0,0
Baião,0,0,0,0,0,0,0,0,0,0,0,0
Bannach,0,0,0,0,0,0,0,0,0,0,0,0
Barcarena,0,0,0,0,0,0,0,0,0,0,0,0
Belém,0,0,0,0,0,0,0,0,0,0,0,0
Belterra,0,0,0,0,0,0,0,0,0,0,0,0
Benevides,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0
Bonito,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,0,0,0,0,0,0,0,0,0,0,0,0
Brasil Novo,0,0,0,0,0,0,0,0,0,0,0,0
Brejo Grande do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0
Breu Branco,0,0,0,0,0,0,0,0,0,0,0,1
Breves,0,0,0,0,0,0,0,0,0,0,0,0
Bujaru,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Piriá,0,0,0,0,0,0,0,0,0,0,0,0
Cametá,0,0,0,0,0,0,0,0,0,0,0,0
Canaã dos Carajás,0,0,0,0,0,0,0,0,0,0,0,0
Capanema,0,0,0,0,0,0,0,0,0,0,0,0
Capitão Poço,0,0,0,0,0,0,0,0,0,0,0,0
Castanhal,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0,0,0
Colares,0,0,0,0,0,0,0,0,0,0,0,0
Conceição do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0
Concórdia do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Cumaru do Norte,0,0,0,0,0,0,0,0,0,0,0,0
Curionópolis,0,0,0,0,0,0,0,2,0,0,0,0
Curralinho,0,0,0,0,0,0,0,0,0,0,0,0
Curuá,0,0,0,0,0,0,0,0,0,0,0,0
Curuçá,0,0,0,0,0,0,0,0,0,0,0,0
Dom Eliseu,0,0,0,0,0,0,0,0,0,0,0,0
Eldorado dos Carajás,0,0,0,0,0,0,0,0,0,0,0,0
Faro,0,0,0,0,0,0,0,0,0,0,0,0
Floresta do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0
Garrafão do Norte,0,0,0,0,0,0,0,0,0,0,0,0
Goianésia do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Gurupá,0,0,0,0,0,0,0,0,0,0,0,0
Igarapé-Açu,0,0,0,0,0,0,0,0,0,0,0,0
Igarapé-Miri,0,0,0,0,0,0,0,0,0,0,0,0
Inhangapi,0,0,0,0,0,0,0,0,0,0,0,0
Ipixuna do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Irituia,0,0,0,0,0,0,0,0,0,0,0,0
Itaituba,0,0,0,0,0,0,0,0,0,0,0,0
Itupiranga,0,0,0,0,0,0,0,0,0,0,0,0
Jacareacanga,0,0,0,0,0,0,0,0,0,0,0,0
Jacundá,0,0,0,0,0,0,0,0,0,0,0,0
Juruti,0,0,0,0,0,0,0,0,0,0,0,0
