,municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Abaetetuba,3,4,2,3,3,4,4,2,3,2,2,5
,Abel Figueiredo,14,8,8,10,7,11,15,31,10,1,10,8
,Acará,21,8,23,2,10,22,5,23,3,4,7,10
,Afuá,2,1,4,0,1,4,5,5,4,3,12,6
,Água Azul do Norte,23,11,9,14,10,4,11,3,9,8,2,0
,Alenquer,68,90,66,13,54,81,59,70,48,29,64,68
,Almeirim,101,84,81,70,115,71,54,95,37,30,43,23
,Altamira,102,82,74,53,66,90,73,64,83,48,72,59
,Anajás,3,9,8,5,4,3,4,3,0,3,1,4
,Ananindeua,4,2,2,0,1,1,1,1,1,0,0,0
,Anapu,74,78,112,34,55,54,27,39,93,27,86,29
,Augusto Corrêa,9,21,4,2,3,9,10,15,8,1,12,13
,Aurora do Pará,16,9,7,8,8,22,5,7,4,1,1,6
,Aveiro,26,21,6,10,4,4,7,15,22,3,7,4
,Bagre,25,23,13,7,19,27,6,28,27,19,14,22
,Baião,45,26,24,8,21,27,23,42,18,11,33,19
,Bannach,5,2,2,0,0,0,3,0,5,5,4,2
,Barcarena,1,1,0,1,5,0,1,1,0,2,1,1
,Belém,1,1,3,0,3,0,2,1,5,0,1,2
,Belterra,29,35,31,32,18,29,15,35,27,9,28,18
,Benevides,2,1,2,0,0,1,0,0,0,0,0,1
,Bom Jesus do Tocantins,7,2,1,7,11,8,8,6,5,8,8,5
,Bonito,0,2,1,0,1,1,4,0,10,3,0,3
,Bragança,17,17,21,9,33,26,56,27,22,14,20,40
,Brasil Novo,51,30,44,26,44,36,25,52,82,29,66,32
,Brejo Grande do Araguaia,0,0,5,5,2,6,7,2,3,0,5,5
,Breu Branco,70,56,43,22,43,75,50,33,31,23,22,30
,Breves,1,2,6,2,3,7,4,4,3,2,3,1
,Bujaru,7,1,2,0,0,2,0,5,0,0,0,3
,Cachoeira do Arari,2,4,2,2,0,2,5,2,1,1,1,1
,Cachoeira do Piriá,41,18,38,12,45,43,60,45,29,10,15,97
,Cametá,21,24,15,3,7,6,8,8,9,3,4,1
,Canaã dos Carajás,6,6,6,5,4,5,6,5,12,7,11,11
,Capanema,13,1,1,3,0,1,4,2,1,0,4,4
,Capitão Poço,6,14,5,4,5,4,4,5,2,1,6,6
,Castanhal,10,10,11,13,7,3,3,3,1,0,7,5
,Chaves,0,0,1,0,1,1,1,0,1,1,0,0
,Colares,3,0,1,0,2,6,5,8,3,2,0,0
,Conceição do Araguaia,14,3,9,14,9,18,12,9,6,6,1,3
,Concórdia do Pará,1,2,3,1,0,2,0,3,3,1,1,2
,Cumaru do Norte,19,10,22,14,5,13,8,5,12,5,12,11
,Curionópolis,8,16,6,9,7,7,22,44,27,6,6,18
,Curralinho,6,10,5,0,2,16,11,7,10,3,7,19
,Curuá,3,2,2,3,5,2,0,6,6,0,5,4
,Curuçá,1,3,0,2,3,0,1,2,2,0,2,1
,Dom Eliseu,94,39,38,47,42,93,44,79,32,12,20,21
,Eldorado dos Carajás,38,11,14,16,14,12,8,27,17,7,6,4
,Faro,4,4,2,1,3,2,1,6,1,2,0,4
,Floresta do Araguaia,9,4,14,8,3,0,2,1,0,0,1,2
,Garrafão do Norte,9,9,18,6,24,8,24,12,2,6,11,9
