id,Município,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
110001,Alta Floresta D'Oeste,"2,27","2,9","1,43","2,13","2,1","2,77","2,72","1,34","1,99","1,32","1,3","3,2"
110037,Alto Alegre dos Parecis,"212,38","116,3","114,83","147,23","102,28","159,3","213,89","438,47","140,33","13,93","138,29","108,37"
110040,Alto Paraíso,"43,82","16,37","47,42","3,73","18,63","40,9","9,25","42,56","5,55","7,4","12,94","18,01"
110034,Alvorada D'Oeste,"6,41","3,09","12,26",0,"2,82","11,15","13,66","13,51","10,7","7,94","31,46","15,44"
110002,Ariquemes,"80,26","36,2","28,83","55,86","39,55","15,68","42,47","11,49","34,21","30,19","7,5",0
110045,Buritis,"129,13","161,61","115,65","24,66","101,88","151,77","109,19","128,79","87,81","52,77","115,85","120,4"
110003,Cabixi,"326,83","266,88","259,68","207,93","342,38","211,54","160,9","283,87","110,87","90,14","129,54","67,37"
110060,Cacaulândia,"110,74","84,67","74,94","50,46","65,52","87,94","69,45","59,94","76,58","43,66","64,61","52,12"
110004,Cacoal,"12,03","33,88","29,21","20,18","15,84","11,66","15,07","11,09",0,"10,71","3,51","13,86"
110070,Campo Novo de Rondônia,"0,83","0,4","0,4",0,"0,21","0,21","0,2","0,2","0,2",0,0,0
110080,Candeias do Jamari,"416,03","401,85","548,46","165,91","257,03","242,97","114,36","159,02","365,94","102,77","317,39","106,77"
110090,Castanheiras,"24,27","54,18","10,17","4,94","7,3","21,62","23,48","34,76","18,31","2,26","26,83","28,56"
110005,Cerejeiras,"75,33","40,74","31,37","30,1","29,55","79,78","17,58","24,16","13,56","3,33","3,28","19,42"
110092,Chupinguaia,"138,08","105,85","29,61","63,42","25,2","25,16","43,86","94,01","137,91","18,81","43,9","24,43"
110006,Colorado do Oeste,"134,55","116,28","63,77","29,34","77,1","106,31","22,5","101,85","95,43","65,37","46,97","73,31"
110007,Corumbiara,"171,82","94,03","84,81","21,68","55,13","68,77","55,78","98,79","41,14","24,47","71,57","40,93"
110008,Costa Marques,"131,16","50,83","50,67",0,0,0,"89,82",0,"153,05","154,66",125,"60,42"
110094,Cujubim,"1,18","1,11",0,1,"4,87",0,"0,91","0,89",0,"1,69","0,83","0,82"
110009,Espigão D'Oeste,"0,07","0,07","0,21",0,"0,21",0,"0,14","0,07","0,35",0,"0,07","0,13"
