municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,0,0,0,"33,33",0,0,0,0,0,0,0,0
Abel Figueiredo,"7,14",0,0,20,0,0,0,"9,68",0,0,10,0
Acará,"9,52",0,0,0,0,"4,55",0,"30,43",0,0,"14,29",0
Afuá,0,0,0,0,0,0,20,0,0,0,0,0
Água Azul do Norte,0,0,0,0,10,0,0,0,0,0,0,0
Alenquer,"8,82","21,11",100,"23,08","18,52","18,52","13,56","8,57","4,17","6,9","6,25","4,41"
Almeirim,"8,91","10,71",100,"8,57","13,91","8,45","7,41","9,47","2,7",0,"11,63","8,7"
Altamira,"2,97","6,1",100,0,"1,52","3,33","1,37",0,"7,23",0,"4,17","5,08"
Anajás,"33,33","11,11",100,40,25,0,25,0,0,0,0,0
Ananindeua,0,0,0,0,100,0,0,0,0,0,0,0
Anapu,"12,16","10,26",100,"8,82","10,91","14,81","18,52","5,13","9,68","7,41","15,12","10,34"
Augusto Corrêa,"11,11",0,0,0,0,0,10,"6,67",25,0,"8,33",0
Aurora do Pará,0,"11,11",0,"12,5",0,"18,18",0,0,0,0,0,0
Aveiro,"19,23","23,81",0,10,25,0,0,0,"4,55",0,0,0
Bagre,12,"4,35",100,0,"5,26","7,41",0,"10,71","7,41","15,79","14,29","9,09"
Baião,"11,11","3,85",100,0,0,"7,41","4,35","4,76",0,0,"6,06",0
Bannach,0,0,0,0,0,0,0,0,0,0,0,0
Barcarena,0,0,0,0,20,0,0,0,0,0,0,0
Belém,0,0,0,0,0,0,0,100,0,0,0,0
Belterra,"10,34","2,86",100,"21,88",0,"13,79",0,"5,71","3,7",0,"3,57",0
Benevides,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,"14,29",0,0,0,0,0,"12,5",0,0,"12,5",0,20
Bonito,0,0,0,0,0,0,0,0,10,0,0,0
Bragança,"5,88",0,0,0,0,"7,69","3,57","7,41","4,55",0,5,10
Brasil Novo,"1,96","6,67",100,0,"6,82","2,78",8,"3,85","10,98","3,45","6,06","3,13"
Brejo Grande do Araguaia,0,0,100,0,0,0,0,0,"33,33",0,0,0
Breu Branco,"2,86","1,79",0,"4,55","9,3","2,67",6,0,0,"4,35",0,"3,33"
Breves,0,0,0,0,0,0,0,0,0,0,0,0
Bujaru,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Arari,0,0,0,50,0,0,0,0,0,0,0,0
Cachoeira do Piriá,"17,07","11,11",100,0,"17,78","2,33",5,"15,56","6,9",10,"6,67","9,28"
Cametá,"14,29","8,33",100,0,0,"16,67","12,5",0,0,0,0,0
Canaã dos Carajás,0,"16,67",100,0,0,0,0,0,0,0,0,0
Capanema,"15,38",0,0,0,0,0,0,0,0,0,0,0
Capitão Poço,0,"14,29",100,0,0,0,25,0,0,0,"16,67","16,67"
Castanhal,0,10,100,0,0,0,"33,33",0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0,0,0
Colares,0,0,0,0,0,0,0,25,"33,33",0,0,0
Conceição do Araguaia,0,0,100,"7,14","22,22",0,0,"11,11","16,67",0,0,0
