municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,0,0,0,0,0,25,0,0,"33,33",0,0,0
Abel Figueiredo,"7,14","12,5","12,5",10,0,0,0,0,10,100,20,"12,5"
Acará,"9,52",25,"4,35",0,0,0,0,"4,35",0,25,0,10
Afuá,0,0,0,0,0,25,0,0,0,0,"16,67",0
Água Azul do Norte,"4,35",0,"11,11",0,0,0,0,"33,33",0,0,0,0
Alenquer,0,"1,11",0,0,"1,85","1,23",0,"1,43",0,0,0,0
Almeirim,"1,98",0,0,0,"1,74","2,82","1,85","1,05","2,7","3,33",0,"4,35"
Altamira,"1,98","2,44","4,05","1,89",0,"4,44","5,48","1,56","3,61","2,08","6,94","3,39"
Anajás,0,0,"12,5",0,0,0,0,0,0,0,0,25
Ananindeua,0,0,50,0,0,0,0,0,0,0,0,0
Anapu,"1,35","3,85","1,79",0,"1,82",0,0,0,"2,15",0,"1,16",0
Augusto Corrêa,"11,11",0,0,0,0,0,10,"6,67",0,0,"8,33",0
Aurora do Pará,0,0,0,"12,5",0,"4,55",0,0,0,0,0,0
Aveiro,"3,85","9,52",0,0,0,25,0,0,0,0,0,0
Bagre,0,0,0,0,"10,53",0,0,0,0,"10,53","7,14",0
Baião,"6,67",0,0,0,0,0,"4,35",0,0,"18,18",0,0
Bannach,0,0,0,0,0,0,0,0,0,0,0,0
Barcarena,0,0,0,0,0,0,0,0,0,50,0,0
Belém,0,0,"33,33",0,0,0,0,0,20,0,0,50
Belterra,0,"5,71",0,0,"5,56",0,0,"2,86",0,"22,22",0,0
Benevides,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,0,50,0,0,0,"12,5",0,0,0,"12,5",0,0
Bonito,0,0,0,0,0,0,0,0,10,0,0,"33,33"
Bragança,"17,65","17,65","4,76",0,"6,06",0,"5,36","7,41","9,09",0,5,5
Brasil Novo,0,0,"2,27","3,85","2,27",0,0,"1,92","3,66","10,34","4,55","3,13"
Brejo Grande do Araguaia,0,0,0,20,50,0,0,0,0,0,0,0
Breu Branco,"8,57","7,14","18,6","13,64","9,3","1,33",2,"3,03","6,45",0,0,"3,33"
Breves,0,0,"16,67",0,0,0,25,0,"33,33",0,0,0
Bujaru,"14,29",0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Arari,0,25,0,0,0,0,20,50,0,0,0,0
Cachoeira do Piriá,0,0,"5,26","8,33",0,"2,33","1,67","4,44","6,9",0,"13,33","1,03"
Cametá,"19,05","4,17","6,67",0,"14,29",0,0,0,0,0,0,0
Canaã dos Carajás,"16,67",0,0,20,0,0,"16,67",0,0,"14,29",0,"9,09"
Capanema,"7,69",0,0,0,0,0,0,0,0,0,0,0
Capitão Poço,"16,67","28,57",0,0,0,0,0,0,0,0,0,0
Castanhal,10,0,"18,18","7,69","28,57",0,0,0,0,0,"42,86",0
Chaves,0,0,0,0,0,0,0,0,0,100,0,0
Colares,0,0,0,0,0,0,20,0,0,0,0,0
Conceição do Araguaia,"14,29",0,"11,11","14,29",0,"5,56","8,33","11,11",0,0,100,0
Concórdia do Pará,100,0,0,0,0,0,0,0,0,0,0,0
Cumaru do Norte,"5,26",0,"9,09","7,14",40,"7,69",0,0,0,0,"8,33","9,09"
Curionópolis,0,0,0,"11,11",0,0,"4,55","13,64","7,41","16,67","16,67",0
Curralinho,0,0,0,0,0,0,0,0,10,0,0,"5,26"
Curuá,0,0,0,0,0,0,0,0,0,0,0,0
Curuçá,100,"33,33",0,0,0,0,100,0,50,0,0,0
Dom Eliseu,"2,13","2,56",0,"2,13",0,"1,08",0,"1,27","3,13","8,33",5,"9,52"
Eldorado dos Carajás,"5,26",0,"7,14",0,0,"8,33",0,0,"23,53","28,57",0,0
Faro,0,0,0,0,0,0,0,0,0,50,0,0
Floresta do Araguaia,0,0,"7,14",0,0,0,0,0,0,0,0,0
Garrafão do Norte,0,0,"11,11",0,"4,17","12,5",0,0,0,0,0,0
Goianésia do Pará,0,"1,61","1,61","2,94","1,33",0,"2,86","2,1","1,19",0,"1,52","1,61"
Gurupá,0,0,0,100,0,0,50,0,0,0,"16,67","33,33"
Igarapé-Açu,"33,33",0,0,0,"12,5",0,0,0,0,0,0,0
Igarapé-Miri,0,5,0,0,0,"12,82","6,06","3,85","12,5",10,0,"3,33"
Inhangapi,0,0,0,20,0,0,50,0,0,0,25,0
Ipixuna do Pará,"2,22",0,0,0,0,"1,75",0,"1,23","5,56",0,0,"11,11"
Irituia,0,0,"33,33",0,0,"14,29","7,69",0,"9,09",0,10,0
Itaituba,"1,2","3,75","8,2","3,17","6,9",8,"1,83","4,76","2,86",0,"1,43","1,77"
Itupiranga,0,"15,38","10,53",0,"2,63",0,"4,76",0,"4,23",0,0,"3,45"
Jacareacanga,"5,88",0,0,0,0,"6,67",0,0,0,"37,5",0,0
Jacundá,"11,11",0,0,"11,11","12,5","14,29",0,"8,7",0,"15,38",0,"7,69"
Juruti,0,0,0,"9,09",10,"13,64",0,0,"9,52","16,67","5,26",0
Limoeiro do Ajuru,0,0,0,0,0,0,0,0,0,0,0,0
Mãe do Rio,0,0,0,0,0,0,0,0,0,0,0,0
Magalhães Barata,0,50,25,0,0,0,0,0,0,0,0,0
Marabá,"3,49",0,"6,35",0,"0,99",0,"8,64","3,36","1,52","2,08","3,23","5,56"
Maracanã,0,0,0,0,0,0,0,0,0,0,0,0
Marapanim,0,0,0,0,0,0,0,0,0,0,0,0
Marituba,0,0,0,0,0,0,0,0,0,0,0,0
Medicilândia,"3,63","3,03","3,26","6,38","3,7","1,68","5,15","1,43","3,07","1,52","0,87","1,2"
Melgaço,25,0,0,0,0,0,0,0,0,0,0,0
Mocajuba,"17,65",0,0,0,"7,69",0,25,0,0,0,0,25
Moju,"2,59","3,28","2,22","2,44",2,"1,11","3,23","0,85","2,38",0,"4,76","6,25"
Mojuí dos Campos,0,0,0,0,0,0,0,0,"3,57",0,"3,45",0
Monte Alegre,"3,19",0,"1,01","2,38",0,0,0,"0,69",0,0,"0,97","1,14"
Muaná,"33,33",0,0,0,0,0,0,25,0,0,0,100
Nova Esperança do Piriá,0,0,0,0,"4,17",0,0,0,0,0,0,"1,23"
Nova Ipixuna,0,0,0,0,0,0,0,0,"33,33",0,0,0
Nova Timboteua,0,0,0,0,0,0,0,0,0,0,0,0
Novo Progresso,"2,9","1,52","3,23",0,"1,69","1,69","7,5","1,75","1,96",4,"2,33",0
Novo Repartimento,"1,47","4,69","2,56","5,77","1,49","0,64","4,48","1,94","4,71","3,45","6,41","1,52"
Óbidos,0,"2,47",0,0,2,"2,44",0,0,0,0,0,"6,25"
Oeiras do Pará,0,0,0,0,0,0,0,0,15,0,0,0
Oriximiná,"0,72",0,0,"4,35",0,"2,48","2,38","2,44","1,41",0,0,0
Ourém,0,0,0,0,0,0,100,0,0,0,0,0
Ourilândia do Norte,"16,67",0,0,0,"7,69",0,0,0,"5,56",4,"5,56","4,55"
Pacajá,"3,03","5,81","2,08",0,"3,37","3,41","4,17","1,9","2,48","2,08","1,72","6,9"
Palestina do Pará,0,0,0,0,100,0,0,0,0,0,0,100
Paragominas,0,"1,36","3,45","0,95","0,74",0,"1,74","0,79","1,32","3,13","1,37",0
Parauapebas,0,"2,22",0,"1,89","0,86","4,41",0,"1,53","1,22",0,"1,87","3,33"
Pau d'Arco,0,0,0,0,0,0,0,0,0,0,50,20
Peixe-Boi,0,0,0,0,0,0,100,0,0,0,0,0
Piçarra,0,0,0,0,0,0,0,0,0,0,0,0
Placas,"7,14",0,0,"2,94","2,56","3,57","2,86",0,0,0,"2,7","3,7"
Ponta de Pedras,0,0,0,0,0,0,0,0,0,0,0,0
Portel,"1,45",0,"1,94",0,"4,26","2,36",4,"2,41","3,2","3,39","3,05","2,91"
Porto de Moz,"5,56",0,0,0,0,0,10,25,0,"9,09","7,14",0
Prainha,"4,05","1,69",0,0,0,0,0,"2,6",0,0,0,0
Primavera,100,0,0,0,0,0,"33,33",0,0,0,100,0
Quatipuru,0,0,0,0,0,0,0,0,0,0,0,0
Redenção,"18,18",0,10,0,0,"11,11",0,0,"11,11",0,"4,35","14,29"
Rio Maria,0,0,0,"33,33",0,0,0,0,10,0,0,0
Rondon do Pará,"1,6","9,09","3,13",0,"1,67","5,94","1,61","1,15",2,"15,79",0,"6,45"
Rurópolis,"6,82",0,"3,03",0,0,0,"2,78",0,0,0,"1,75",0
Salinópolis,"33,33",0,"33,33",0,0,0,0,0,0,0,0,0
Salvaterra,0,0,0,0,0,0,0,0,0,0,0,0
Santa Bárbara do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,50,0,0,0,0,0,0,100,0,0,0
Santa Luzia do Pará,0,0,0,0,0,0,"11,11",0,0,0,0,0
Santa Maria das Barreiras,"4,55","16,67","6,67",0,20,0,0,0,10,50,0,0
Santa Maria do Pará,0,0,0,"14,29",0,0,0,0,0,0,50,0
Santana do Araguaia,"3,92","18,18","4,35","2,7","9,52","7,14",0,20,0,0,0,0
Santarém,"5,13","1,5","5,69",0,"0,97","1,83","1,89","3,88",0,"3,57","2,38","3,64"
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,0,0,0,0,0,0,0,0,0,0,0
São Caetano de Odivelas,0,0,0,0,0,0,"33,33",0,0,0,0,0
