municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,0,0,0,0,25,25,0,25,0,25,100,20
Abel Figueiredo,"11,11","57,14","33,33",0,10,"7,69","5,26","13,33","8,33","33,33",100,"33,33"
Acará,"19,05",50,"13,04",50,10,"9,09","16,67","13,04",0,100,0,10
Afuá,0,0,25,0,0,50,20,0,0,"33,33",100,"12,5"
Água Azul do Norte,"13,04",0,"18,18","18,75","18,18",0,0,"33,33","18,18","27,27",100,0
Alenquer,"1,52","4,82","6,15","21,43","5,45","9,41","5,26","7,14","4,26","9,68",100,"6,15"
Almeirim,"6,54","10,1","5,81","4,17","6,77","9,09","7,55","10,71","12,82","24,24",100,"14,29"
Altamira,"11,97","10,31","12,22","12,31","9,71","9,35","11,34","15,53","14,81","14,06",100,"20,48"
Anajás,0,"11,11","44,44",20,0,0,0,0,0,0,0,25
Ananindeua,0,"28,57",60,0,0,0,50,"33,33",40,0,0,0
Anapu,"9,59","12,84","7,89","5,13","10,17","1,75","3,7","2,63","16,98","16,13",100,"24,24"
Augusto Corrêa,"15,38","11,54","14,29",0,0,0,"23,08","10,53",25,0,100,"7,14"
Aurora do Pará,"7,69",10,0,0,0,"11,11",20,"28,57",10,0,0,0
Aveiro,"4,55",25,0,0,25,0,0,0,"9,52",0,0,0
Bagre,8,"4,35","5,26","14,29","5,26","10,71",0,"3,57",0,15,100,0
Baião,"5,88",0,"11,11","12,5","5,88","11,11","16,67",10,0,0,0,0
Bannach,0,0,0,0,0,0,0,0,0,0,100,0
Barcarena,0,0,0,0,"12,5",0,0,0,0,"33,33",0,20
Belém,"28,57","16,67","18,18",50,25,0,"8,33","4,55","62,5",25,100,25
Belterra,"13,04","8,82",8,"27,59","27,27","16,67",20,"7,14","10,71","33,33",100,"9,09"
Benevides,40,0,50,0,100,"33,33",0,0,0,0,0,"33,33"
Bom Jesus do Tocantins,"16,67",50,0,"12,5","15,38","22,22",0,0,25,"12,5",100,0
Bonito,0,100,0,0,0,0,"33,33",0,20,0,0,50
Bragança,"12,5",25,"15,38",20,"8,57",25,"13,79","22,58","28,57","17,65",100,"19,23"
Brasil Novo,8,"5,71","13,04",4,"6,67","8,11","3,7","4,26","14,46",4,100,"5,13"
Brejo Grande do Araguaia,0,0,0,"16,67",100,0,"14,29",0,0,0,0,20
Breu Branco,"22,95","15,25","25,49","39,39","23,53","13,33","8,33","2,63","11,76","9,52",100,"12,82"
Breves,50,0,"35,29",25,"13,33",25,25,0,75,0,100,0
Bujaru,0,0,0,0,0,0,0,40,0,0,0,"33,33"
Cachoeira do Arari,100,25,0,0,0,0,20,50,100,100,0,100
Cachoeira do Piriá,"6,82","6,67","12,5","11,11","4,76","9,76","5,08",12,"18,52","18,18",100,5
Cametá,"18,75","9,09","17,65",0,0,"16,67",0,"16,67","35,71",20,100,0
Canaã dos Carajás,20,"12,5","9,09",25,0,0,"11,11",0,"7,69",25,100,25
Capanema,25,0,0,20,0,25,0,50,"33,33",0,100,"14,29"
Capitão Poço,"7,69","27,78","8,33","22,22",0,0,0,"8,7",0,50,0,0
Castanhal,"33,33","39,13","44,44","18,75","36,84","14,29","16,67","15,38","33,33","33,33",100,50
Chaves,0,0,0,0,0,0,0,0,0,100,0,0
Colares,"33,33",0,0,0,100,"28,57",40,"45,45",40,100,0,0
Conceição do Araguaia,40,50,"27,27","33,33","12,5","6,25","18,18","33,33","33,33","42,86",100,0
Concórdia do Pará,"66,67",0,"16,67",0,0,100,0,0,0,0,100,0
Cumaru do Norte,"14,29","28,57","17,39","41,67",25,"7,69",0,0,0,0,100,10
Curionópolis,30,"13,33","21,43","29,41","36,36","9,09","21,43","34,78","29,63","57,14",100,"18,75"
Curralinho,"33,33",10,0,0,0,"5,88","9,09",0,10,"33,33",0,"16,67"
Curuá,0,0,0,0,0,0,0,"14,29",0,0,0,0
Curuçá,0,0,0,50,0,0,0,0,0,0,0,0
Dom Eliseu,"4,92","8,16",12,"1,75","14,55","7,34","7,41","4,21","11,11",20,100,"12,5"
Eldorado dos Carajás,"19,05","15,38","11,11","22,22","16,67","33,33","14,29","15,38",50,"44,44",100,"33,33"
Faro,0,0,0,0,0,0,0,"16,67",0,50,0,0
Floresta do Araguaia,"18,18",25,"14,29",0,"33,33",0,0,0,0,0,0,50
Garrafão do Norte,0,0,"14,29",0,"19,23","18,18","3,7",0,0,0,0,"3,57"
Goianésia do Pará,"4,48","3,92","6,67","2,56","6,76","5,62","18,98","13,1","14,1","9,09",100,"14,04"
Gurupá,0,0,0,100,50,0,50,0,0,0,100,"66,67"
Igarapé-Açu,"66,67",50,25,0,"33,33",0,0,0,0,40,0,20
Igarapé-Miri,100,20,"17,39","33,33",20,"17,07","25,71","14,81","41,18",25,100,10
Inhangapi,0,0,"14,29","11,11","33,33",50,75,50,0,0,100,0
Ipixuna do Pará,"10,34",0,"3,13","3,85","9,09","8,6",0,"7,46","12,12","14,29",0,"18,18"
Irituia,0,"14,29","16,67",0,"7,14",25,"27,27",10,"45,45",0,100,0
Itaituba,"11,93",13,"19,12","13,7","19,59","19,66","14,78","22,45","19,17","16,5",100,"23,42"
Itupiranga,0,"29,41",20,"16,67","13,16",8,"18,18","2,5","14,29","6,67",100,"16,13"
Jacareacanga,"11,76","11,11","13,33","27,27","18,75","15,79","9,09",5,25,"27,27",100,"16,13"
Jacundá,"12,12","12,5","4,55","23,08","30,43","2,94","10,64","17,65","9,68","23,53",100,"28,57"
Juruti,"3,03","10,53",10,"18,18","11,11",15,20,"8,7","12,5","16,67",100,8
Limoeiro do Ajuru,0,0,0,0,0,0,0,25,0,0,0,0
Mãe do Rio,"15,38",0,"16,67",0,"7,69",0,"33,33",40,"18,18",0,0,0
Magalhães Barata,0,100,"33,33",0,0,0,0,0,0,100,0,0
Marabá,"15,28","13,51","21,74","6,06","7,07","10,84","16,67","13,04",19,"19,23",100,"21,95"
Maracanã,0,0,"33,33",0,0,0,0,0,0,0,0,0
Marapanim,0,0,"14,29",0,0,0,0,80,0,0,0,0
Marituba,25,25,"33,33",0,0,0,0,0,"33,33",0,0,0
Medicilândia,"8,13","10,7","10,8","13,4","11,03","7,36","13,33","11,54","8,75","7,58",100,"10,87"
Melgaço,"33,33",0,0,0,0,0,0,0,0,0,0,25
Mocajuba,"23,68",15,"11,11","33,33","23,08",50,25,20,"16,67",0,100,25
Moju,"5,88","14,63","13,64","9,3","16,33","7,06",8,"11,24","13,89",0,100,"13,33"
Mojuí dos Campos,0,0,0,0,0,0,"14,29","6,9","9,3",5,100,"6,25"
Monte Alegre,"3,09","9,17","5,66","6,67","3,33","8,33","4,08","5,99","4,12","8,89",100,"4,08"
Muaná,50,0,0,0,0,25,"33,33",50,0,0,0,100
Nova Esperança do Piriá,"4,17",0,20,"9,09","3,23",0,"8,33","8,33",0,"16,67",100,"11,49"
Nova Ipixuna,"28,57",0,20,"28,57",0,"37,5","33,33",0,"33,33",0,100,"14,29"
Nova Timboteua,0,0,60,0,0,0,50,0,"16,67",0,0,0
Novo Progresso,10,"7,46","17,65","14,55","16,18","22,73","22,73","13,33","14,04",20,100,"19,35"
Novo Repartimento,"10,94","13,11","14,85","17,24","11,11","6,75","7,58","5,88","16,84","16,67",100,"9,23"
Óbidos,"2,9","6,12","1,32",0,"4,44","4,63","6,52","3,8","3,03",4,100,"11,36"
Oeiras do Pará,0,"14,29","4,76",0,0,"7,69","6,67","2,5","5,26","6,25",0,15
Oriximiná,"2,67","3,09","2,74","6,25","2,53","4,35","6,02","6,34","1,32","14,29",100,0
Ourém,0,"16,67",0,0,0,0,"66,67",0,0,0,100,0
Ourilândia do Norte,"27,27",10,"16,67","16,67","26,67","8,33","6,25","11,11","15,79","16,67",100,"26,32"
Pacajá,"12,66","18,52","4,55","7,14","10,67","13,51","17,65","15,38","10,48",20,100,"14,29"
Palestina do Pará,0,0,0,60,100,0,0,0,"33,33",0,100,100
Paragominas,"7,14","9,6",9,"8,13","3,91","4,84","9,09","9,24","6,1","9,68",100,"10,47"
Parauapebas,"7,89","5,08","4,62","11,29","7,81","13,33","11,11","8,89","10,91","12,28",100,"13,08"
Pau d'Arco,25,0,0,0,0,0,25,0,0,0,100,40
Peixe-Boi,0,0,0,0,0,0,100,0,0,0,0,0
Piçarra,0,0,0,0,20,0,"28,57",0,"16,67",0,0,0
Placas,"6,98","7,69","11,11","2,94","16,67","13,04","12,12","8,62","17,39","18,18",100,"19,23"
Ponta de Pedras,0,0,0,0,0,0,0,0,0,0,0,0
Portel,"5,41","10,99","6,6","3,85","7,57","8,82","11,32","11,25","12,61","8,77",100,"6,93"
Porto de Moz,"10,53",16,"23,08","12,5","13,33","28,57","28,57","23,08","18,75","7,69",100,10
Prainha,"3,45",0,"7,69","9,68","2,38","7,41",0,"6,82","3,13","8,33",0,"8,77"
Primavera,50,0,0,0,0,50,"33,33","12,5",0,0,100,0
Quatipuru,0,0,0,0,0,0,0,0,100,0,0,0
Redenção,"26,83","11,76","11,11",10,20,"35,71","9,09","22,22","38,1",0,100,"38,1"
Rio Maria,"11,11",20,"27,78","42,86",40,"22,22",0,"14,29",25,0,100,0
Rondon do Pará,"9,17","13,11","13,89","1,89","15,25","11,83","8,93","6,49","11,11","28,57",100,"21,88"
Rurópolis,"10,64","12,5","9,38",0,0,"7,69",15,"11,36","5,26","12,5",100,"10,87"
Salinópolis,75,0,50,0,0,0,50,"16,67",0,0,0,50
Salvaterra,0,0,0,0,0,0,0,0,0,0,0,0
Santa Bárbara do Pará,0,0,0,0,0,0,100,0,0,0,0,0
Santa Cruz do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Santa Isabel do Pará,0,40,0,0,0,0,0,0,50,0,100,0
Santa Luzia do Pará,0,10,0,0,0,"7,69","18,18",40,0,0,100,"27,78"
Santa Maria das Barreiras,20,20,"29,41",0,40,0,"16,67",0,10,"33,33",0,0
Santa Maria do Pará,"28,57","8,33",20,"14,29","17,65",0,"16,67",0,40,0,100,0
Santana do Araguaia,"9,09","35,29","17,07","31,58","42,86","17,65","17,65","33,33","18,18",20,100,30
Santarém,"8,93","8,7",8,"7,37","10,69","11,24","12,75","11,31","11,96","22,22",100,"14,56"
Santarém Novo,0,0,0,0,0,0,0,0,0,0,0,0
Santo Antônio do Tauá,0,0,0,0,"33,33",0,"12,5",20,0,0,0,0
São Caetano de Odivelas,0,0,"16,67",0,0,0,"66,67",0,75,0,0,0
São Domingos do Araguaia,"5,26","26,92","43,75","17,14","20,69",0,0,"8,33","27,66","12,5",100,"16,67"
São Domingos do Capim,50,0,0,0,0,0,40,0,0,0,0,"28,57"
São Félix do Xingu,"18,37","8,89","2,56","21,05","13,73","11,11","14,63","10,94","13,58","11,76",100,"16,47"
São Francisco do Pará,0,0,50,0,10,0,20,0,0,100,100,40
São Geraldo do Araguaia,"29,41","28,57","46,15","37,5","56,25","37,5","37,5","17,39","19,05","42,86",100,"57,14"
São João da Ponta,0,100,0,0,100,0,0,0,0,0,0,50
São João de Pirabas,0,0,0,0,0,0,0,0,0,0,0,0
São João do Araguaia,"14,29",25,25,"12,5","16,67","18,18","15,38","27,78","41,18","11,11",100,50
