municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,100,100,100,"66,67",100,75,75,100,100,100,50,100
Abel Figueiredo,"78,57",100,75,80,100,100,80,"90,32",90,0,70,100
Acará,"66,67",50,"73,91",50,40,"59,09",100,"52,17",100,75,"85,71",70
Afuá,100,100,100,0,100,75,60,80,100,100,"66,67","83,33"
Água Azul do Norte,"86,96","81,82",100,"78,57",80,100,"81,82",100,"88,89",75,100,0
Alenquer,"82,35","76,67","71,21","92,31","66,67","72,84","66,1","78,57","83,33","82,76","82,81","82,35"
Almeirim,"81,19",75,"83,95","85,71","71,3","85,92","88,89","77,89","81,08","83,33","79,07","86,96"
Altamira,"83,33","87,8","87,84","90,57","83,33","87,78","78,08","82,81","77,11","91,67","84,72","88,14"
Anajás,"66,67",100,50,80,75,100,100,"66,67",0,100,100,75
Ananindeua,100,50,100,0,100,100,100,100,100,0,0,0
Anapu,"72,97","69,23","59,82","79,41","70,91","66,67","88,89","87,18","79,57","92,59","69,77","75,86"
Augusto Corrêa,"88,89","61,9",75,50,"33,33","66,67",50,"86,67",50,100,75,"69,23"
Aurora do Pará,"68,75","77,78","85,71",75,"87,5","63,64",80,"71,43",100,100,100,"83,33"
Aveiro,"80,77","76,19","83,33",60,75,100,100,"66,67","77,27",100,100,50
Bagre,76,"86,96",100,100,"84,21","85,19",100,"89,29","92,59","89,47","85,71","77,27"
Baião,"64,44","76,92","54,17",75,"85,71","81,48","86,96","85,71","88,89","72,73","93,94","94,74"
Bannach,100,100,100,0,0,0,"66,67",0,80,100,75,100
Barcarena,100,0,0,100,80,0,100,100,0,50,100,100
Belém,100,100,"66,67",0,0,0,100,100,40,0,100,50
Belterra,"82,76","77,14","64,52",75,"94,44","62,07","73,33","82,86","81,48","77,78","96,43",100
Benevides,50,100,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,"85,71",100,100,100,"81,82","62,5","87,5",100,80,100,75,60
Bonito,0,50,100,0,100,100,75,0,80,100,0,100
Bragança,"70,59","94,12","71,43","33,33","84,85","84,62","71,43","70,37","86,36","57,14",80,"67,5"
Brasil Novo,"84,31",80,"72,73","84,62","84,09","69,44",84,"78,85","65,85","96,55","72,73","87,5"
Brejo Grande do Araguaia,0,0,80,60,0,100,100,50,100,0,100,100
Breu Branco,"75,71","76,79","86,05","86,36","81,4","90,67",82,"84,85","80,65","86,96","77,27","86,67"
Breves,0,100,100,0,100,"85,71",100,100,"33,33",50,"66,67",100
Bujaru,"71,43",0,0,0,0,100,0,40,0,0,0,100
Cachoeira do Arari,100,75,50,0,0,50,80,0,0,0,100,100
Cachoeira do Piriá,"60,98","61,11","86,84","91,67","77,78","81,4",70,"68,89","62,07",90,"93,33","71,13"
Cametá,"76,19","79,17","86,67","66,67",100,"83,33",100,75,"88,89","66,67",100,0
Canaã dos Carajás,50,"66,67",100,100,75,80,"83,33",100,100,"85,71","90,91","90,91"
Capanema,"69,23",100,100,100,0,0,100,100,100,0,75,75
Capitão Poço,100,"42,86",100,75,100,100,100,100,50,0,"83,33","83,33"
Castanhal,70,70,"54,55","69,23","57,14","66,67","66,67",100,100,0,"71,43",60
Chaves,0,0,100,0,0,0,100,0,100,0,0,0
Colares,"33,33",0,100,0,100,50,60,50,100,50,0,0
Conceição do Araguaia,"85,71",100,"77,78","85,71","77,78","77,78","91,67",100,100,"83,33",100,100
Concórdia do Pará,100,100,"33,33",100,0,0,0,"66,67","33,33",0,0,100
Cumaru do Norte,"94,74",90,"90,91","85,71",80,"69,23","87,5",100,"83,33",100,"91,67","81,82"
