municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,0,0,0,0,0,0,0,0,0,0,0,0
Abel Figueiredo,0,0,0,0,0,0,0,0,0,0,0,0
Acará,0,0,0,0,0,0,0,0,0,0,0,0
Afuá,0,0,0,0,0,0,0,0,0,0,0,"16,67"
Água Azul do Norte,0,0,0,0,0,0,0,0,0,0,0,0
Alenquer,0,0,0,0,0,0,0,"1,43",0,0,0,0
Almeirim,"0,99","3,57","1,23","1,43","1,74",0,0,0,"2,7",0,0,0
Altamira,0,0,0,0,0,0,0,0,"1,2",0,0,0
Anajás,0,0,0,0,0,0,0,0,0,0,0,0
Ananindeua,0,0,0,0,0,0,0,0,0,0,0,0
Anapu,0,0,0,"2,94",0,0,0,"2,56","2,15",0,0,0
Augusto Corrêa,0,0,0,0,0,0,0,0,0,0,0,0
Aurora do Pará,0,0,0,0,0,"9,09",0,0,0,0,0,0
Aveiro,0,0,0,0,0,0,0,0,0,0,0,0
Bagre,0,"8,7",0,0,0,0,0,0,"3,7",0,0,0
Baião,0,0,"4,17",0,"4,76","3,7",0,0,0,0,"3,03","5,26"
Bannach,0,0,0,0,0,0,0,0,0,40,0,0
Barcarena,0,0,0,0,0,0,0,0,0,0,0,0
Belém,0,0,0,0,0,0,0,0,0,0,0,0
Belterra,"3,45",0,0,0,0,0,0,"2,86",0,0,0,0
Benevides,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0
Bonito,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,0,0,0,0,0,"3,85",0,0,0,0,0,0
Brasil Novo,0,"3,33",0,0,0,0,0,0,0,0,0,0
Brejo Grande do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0
Breu Branco,0,0,0,0,0,0,0,"3,03",0,0,0,"3,33"
Breves,0,0,0,0,0,0,0,0,0,0,0,0
Bujaru,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Piriá,0,0,0,"8,33",0,"2,33",0,"2,22",0,0,0,0
Cametá,0,0,0,0,0,0,0,0,0,0,0,0
Canaã dos Carajás,0,0,0,0,0,0,0,0,0,"14,29",0,0
Capanema,0,0,0,0,0,0,0,0,0,0,0,0
Capitão Poço,0,0,0,0,0,0,0,0,0,0,0,0
Castanhal,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0,0,0
Colares,0,0,0,0,0,0,0,0,0,0,0,0
Conceição do Araguaia,0,0,0,0,0,"5,56",0,0,0,0,0,0
Concórdia do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Cumaru do Norte,0,0,"4,55",0,20,0,0,0,0,0,"8,33",0
Curionópolis,0,0,0,0,0,0,0,0,0,0,0,0
Curralinho,0,0,0,0,0,0,0,0,0,0,0,0
Curuá,0,0,0,0,0,0,0,0,0,0,0,0
Curuçá,0,0,0,0,0,0,0,0,0,0,0,0
Dom Eliseu,0,0,0,0,"2,38",0,"2,27",0,0,0,0,0
Eldorado dos Carajás,"18,42","9,09",0,0,"7,14",0,0,"7,41",0,0,0,0
Faro,0,0,0,0,0,0,0,0,0,0,0,0
Floresta do Araguaia,0,0,0,0,0,0,0,0,0,0,0,0
Garrafão do Norte,0,0,0,0,0,0,0,0,0,0,0,0
Goianésia do Pará,"1,3",0,"1,61",0,0,0,0,"0,7","1,19","4,55",0,"3,23"
Gurupá,0,0,0,0,0,0,0,0,0,0,0,0
Igarapé-Açu,0,0,0,0,0,0,0,0,0,0,0,0
Igarapé-Miri,0,0,0,0,0,0,0,"1,92",0,0,0,0
Inhangapi,0,0,0,0,0,0,0,0,0,0,0,0
Ipixuna do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Irituia,0,0,0,0,0,0,0,0,0,0,0,0
Itaituba,0,0,0,0,0,0,0,"1,19",0,0,"0,71",0
