municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,25,0,0,"33,33",25,50,0,0,0,0,0,0
Abel Figueiredo,0,0,0,0,0,"15,38",0,0,"8,33",0,0,0
Acará,0,0,"4,35",0,0,0,"16,67",0,0,0,0,10
Afuá,0,0,0,0,0,0,0,0,0,0,0,0
Água Azul do Norte,0,0,0,0,0,0,0,0,0,"9,09",0,0
Alenquer,"4,55","2,41","3,08",0,0,"1,18","8,77",0,"6,38",0,"4,62",0
Almeirim,"0,93","1,01","2,33",0,"2,26","5,19",0,"1,79",0,"3,03","2,38","4,76"
Altamira,"1,69","2,06","3,33","6,15","3,88","6,54","7,22","2,91","3,7","3,13","7,08","3,61"
Anajás,0,0,"11,11",0,0,0,0,0,0,0,0,0
Ananindeua,0,0,0,50,0,0,0,0,20,0,"33,33",0
Anapu,"1,37","1,83","1,75","5,13","5,08",0,"3,7",0,"0,94","6,45","2,41","3,03"
Augusto Corrêa,0,0,0,0,0,0,0,"15,79",0,0,"11,11",0
Aurora do Pará,0,0,0,0,0,"5,56",0,0,0,0,0,0
Aveiro,0,5,0,0,0,0,0,0,"4,76",0,0,0
Bagre,28,"21,74","36,84","28,57",0,"7,14","12,5",0,"3,7",5,"7,69",0
Baião,"2,94","6,67",0,"12,5","5,88",0,0,0,0,0,"6,9",0
Bannach,0,0,0,0,0,0,25,0,0,0,20,0
Barcarena,0,0,0,0,"12,5",0,0,0,0,0,0,10
Belém,0,0,0,50,0,0,"8,33",0,0,0,0,0
Belterra,0,0,0,0,0,0,0,0,0,0,0,0
Benevides,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,0,0,0,"12,5","15,38",0,0,0,25,0,0,0
Bonito,0,0,0,0,0,100,0,0,0,0,0,0
Bragança,0,"7,14",0,0,0,"3,57",0,0,0,0,0,0
Brasil Novo,2,0,"2,17",4,0,0,"3,7",0,"1,2",0,0,0
Brejo Grande do Araguaia,100,0,0,0,0,0,0,0,0,0,20,60
Breu Branco,0,"3,39","3,92","3,03","1,96","1,67","1,67","2,63",0,"4,76",0,"5,13"
Breves,0,0,0,0,0,"12,5",25,0,0,0,0,0
Bujaru,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Piriá,0,0,10,"88,89","45,24","2,44",0,0,0,0,"5,56",0
Cametá,"12,5","13,64","11,76",0,0,"16,67",25,0,"21,43",0,0,0
Canaã dos Carajás,20,"12,5","18,18",0,0,0,"11,11",0,"7,69","12,5","13,33","8,33"
Capanema,0,0,0,20,0,0,0,0,0,0,20,"14,29"
Capitão Poço,0,"11,11",0,"22,22","6,67",0,0,0,0,0,0,0
Castanhal,"12,5",0,0,0,0,0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0,0,0
Colares,0,0,0,0,0,"42,86",0,0,0,0,0,0
Conceição do Araguaia,5,0,0,"11,11",0,"6,25","9,09",0,"16,67",0,0,0
Concórdia do Pará,0,0,0,0,0,0,0,0,0,0,0,0
Cumaru do Norte,"7,14","57,14","21,74","16,67","12,5",0,0,25,"14,29",0,"42,86",40
Curionópolis,0,0,0,0,0,0,"7,14","2,17","3,7","14,29",0,"6,25"
Curralinho,0,0,0,0,0,0,0,0,0,0,0,0
Curuá,0,0,0,0,0,0,0,0,0,0,0,0
Curuçá,0,0,0,0,0,0,0,0,0,0,0,0
Dom Eliseu,0,0,0,"1,75","1,82",0,0,"3,16",0,0,"5,26",0
Eldorado dos Carajás,"2,38",0,0,0,0,0,0,0,0,0,"16,67",0
Faro,0,0,0,0,0,0,0,"33,33",0,0,0,0
Floresta do Araguaia,0,0,"7,14",0,0,0,0,0,0,0,0,0
Garrafão do Norte,0,"12,5",0,0,"3,85",0,0,0,0,0,0,0
Goianésia do Pará,0,"1,96","3,33","7,69",0,"1,12",0,"1,38",0,0,"3,23",0
Gurupá,0,0,0,0,0,0,50,0,0,0,0,0
Igarapé-Açu,0,0,0,0,0,0,0,0,0,0,0,0
Igarapé-Miri,0,5,0,0,0,0,0,"5,56","5,88","8,33",0,0
Inhangapi,0,0,0,0,0,0,0,0,0,0,0,0
Ipixuna do Pará,"3,45",0,0,0,"2,27",0,0,"1,47",0,0,0,0
Irituia,0,0,0,"5,56","7,14",0,0,10,0,0,0,0
Itaituba,"2,75",3,"5,88","5,48","2,06","5,98",0,"4,08","1,67","4,85","4,32","1,8"
