municipio,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abaetetuba,0,0,0,0,0,0,0,0,0,0,0,0
Abel Figueiredo,0,0,0,0,10,0,"15,79","3,33",0,"66,67","18,75","11,11"
Acará,0,0,0,0,0,0,0,0,0,0,0,0
Afuá,0,0,0,0,0,0,0,0,0,0,0,0
Água Azul do Norte,"4,35","23,08",0,"12,5",0,0,"7,14",0,0,"27,27",0,0
Alenquer,0,0,0,0,"1,82","3,53","1,75","1,43","2,13",0,0,0
Almeirim,"3,74","12,12","10,47","4,17","9,77","9,09","3,77","14,29","12,82","12,12","2,38",0
Altamira,"4,24","5,15","2,22","3,08","2,91","0,93","4,12","9,71","7,41","1,56","5,31","7,23"
Anajás,0,0,"11,11",0,0,0,0,0,0,0,0,0
Ananindeua,0,0,0,0,0,0,0,0,0,0,0,0
Anapu,"4,11","10,09","6,14","7,69","6,78","3,51","11,11","15,79","15,09","9,68","7,23","9,09"
Augusto Corrêa,0,0,0,0,0,0,0,"5,26",0,0,0,0
Aurora do Pará,0,20,"12,5",0,0,0,0,"21,43",0,0,0,"16,67"
Aveiro,0,0,0,0,0,0,0,0,"4,76",0,0,"33,33"
Bagre,8,0,"21,05",0,"5,26","3,57","12,5",0,"3,7",5,0,0
Baião,0,0,0,0,"5,88",0,0,0,0,0,0,0
Bannach,50,0,0,0,0,100,0,0,0,0,0,50
Barcarena,0,0,0,0,"12,5",0,0,0,0,0,0,0
Belém,0,0,0,0,0,0,"8,33",0,0,0,0,"12,5"
Belterra,"17,39","8,82",8,"6,9",0,10,"6,67",0,"3,57",0,0,"4,55"
Benevides,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus do Tocantins,0,0,0,0,0,0,0,"16,67",0,0,0,0
Bonito,0,0,0,0,0,0,0,0,0,0,0,0
Bragança,"12,5",0,"3,85","13,33",0,"3,57",0,0,0,0,0,0
Brasil Novo,4,"17,14","6,52",0,"8,89","8,11","11,11","2,13","7,23",4,"17,72","15,38"
Brejo Grande do Araguaia,100,0,0,0,0,0,"14,29",0,0,0,0,0
Breu Branco,0,"3,39","7,84","9,09","1,96","1,67",0,"5,26",0,0,0,"2,56"
Breves,20,0,0,0,"13,33","12,5",0,"14,29",0,0,0,0
Bujaru,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Arari,0,0,0,0,0,0,0,0,0,0,0,0
Cachoeira do Piriá,"6,82","6,67",5,0,0,"2,44","1,69",14,"3,7","9,09","5,56",7
Cametá,0,0,"5,88",25,0,0,0,"8,33","7,14",0,0,0
Canaã dos Carajás,0,0,"9,09",0,0,10,"33,33",0,0,0,0,"8,33"
Capanema,0,0,0,0,0,0,0,0,0,0,0,0
Capitão Poço,"7,69",0,"8,33",0,"6,67",0,0,"4,35",0,0,0,0
Castanhal,0,0,"16,67",0,"5,26",0,0,0,0,0,0,0
Chaves,0,0,0,0,0,0,0,0,0,0,0,0
Colares,0,0,50,0,0,"14,29",0,"18,18",40,0,0,0
Conceição do Araguaia,10,0,"9,09","11,11",0,"6,25",0,0,0,0,0,25
Concórdia do Pará,"33,33",0,"16,67",0,0,0,0,0,0,0,0,0
Cumaru do Norte,"7,14",0,"4,35","8,33","12,5",0,25,0,0,0,"14,29",10
Curionópolis,0,0,"7,14","17,65",0,0,0,"4,35",0,"28,57",0,0
Curralinho,0,0,0,0,0,"11,76",0,0,0,0,0,"5,56"
Curuá,0,0,0,0,0,0,0,0,"14,29",0,0,0
Curuçá,0,0,0,0,0,0,0,0,0,0,0,0
Dom Eliseu,0,"2,04",0,"1,75",0,"2,75","3,7","1,05",0,0,0,"8,33"
Eldorado dos Carajás,"14,29","30,77",0,"11,11",0,0,"14,29",0,0,0,0,0
Faro,0,0,0,0,0,0,0,0,0,0,0,0
Floresta do Araguaia,"18,18",0,"7,14","11,11",0,0,0,0,0,0,0,0
Garrafão do Norte,0,0,0,0,0,"9,09",0,0,0,0,0,0
Goianésia do Pará,"4,48","1,96","6,67","10,26","1,35","0,56","0,72",0,0,0,0,0
Gurupá,0,0,0,0,0,0,0,0,50,0,0,"33,33"
Igarapé-Açu,0,0,0,0,0,0,0,0,0,0,0,0
Igarapé-Miri,0,5,"21,74",0,4,0,"2,86","1,85",0,0,0,0
Inhangapi,0,0,0,0,0,0,0,0,0,0,"12,5",0
Ipixuna do Pará,0,0,"6,25",0,"2,27","3,23","4,44","1,47","6,06",0,0,0
Irituia,0,0,0,"5,56",0,0,0,0,0,0,0,10
Itaituba,"4,59",6,"2,94","5,48","10,31","12,82","4,35","6,12","5,83","0,97","1,44","1,8"
Itupiranga,"9,09","11,76",0,"5,56",0,8,"4,55","2,5",0,"6,67","4,17","3,23"
Jacareacanga,"5,88","11,11",0,"9,09",0,"5,26",0,0,25,0,"5,71",0
Jacundá,"3,03",0,0,0,0,0,"2,13","7,84","3,23","11,76",0,"14,29"
Juruti,"3,03","10,53",10,"9,09","22,22",0,0,0,0,0,"4,76",0
Limoeiro do Ajuru,0,0,0,0,0,0,0,0,0,0,0,0
Mãe do Rio,0,0,0,0,"7,69",0,0,0,"18,18",0,0,0
Magalhães Barata,0,0,0,0,0,0,0,0,0,0,0,0
Marabá,0,"4,05",0,0,"3,03","3,61","1,19","2,61",1,"3,85","2,78","9,76"
Maracanã,0,0,0,0,0,0,0,0,0,0,0,0
